Pregunta Nº,Tema,Pregunta,Respuesta correcta,Respuesta incorrecta 1,Respuesta incorrecta 2,Descripción (mensaje que se obtiene al elegir la respuesta)
1,Salud,... diseñar e implementar un Sistema Nacional Integrado de Cuidados?,Juan Schiaretti,Myriam Bregman,Patricia Bullrich,"En su programa, Schiaretti propone implementar un Sistema Nacional Integrado de Cuidados con una atención amable y centrada en las personas, con perspectiva de género, derechos para minorías y diversidades sexuales."
2,Salud,... mejorar la inversión y digitalizar la salud?,Juan Schiaretti,Patricia Bullrich,Sergio Massa,"En su programa, Schiaretti propone mejorar sostenidamente la inversión en el personal y la infraestructura de salud, avanzando de forma profunda en digitalización e informatización de historias clínicas, teleconsultas y telemedicina."
3,Salud,... defender el derecho a la vida desde la concepción?,Javier Milei,Patricia Bullrich,Juan Schiaretti,"En su programa, Milei propone derogar la Ley del Aborto por considerarlo un ""homicidio agravado por el vínculo"""
4,Salud,... arancelar todas las prestaciones de salud?,Javier Milei,Sergio Massa,Patricia Bullrich,"En su programa, Milei propone que el sistema de salud se autogestione, arancelando todas las prestaciones e integrando progresivamente el servicio de salud pública con la salud privada.
"
5,Salud,"... unificar y centralizar el sistema de salud? 
",Myriam Bregman,Sergio Massa,Patricia Bullrich,"En su programa, Bregman propone reunir la totalidad de los recursos del sistema público y privado bajo control de los trabajadores y profesionales implementando comités de emergencia central y locales. "
6,Salud,... garantizar el acceso a la salud?,Myriam Bregman,Javier Milei,Sergio Massa,"En su programa, Bregman propone garantizar el acceso a la salud y la mejora del sistema usando la plata hoy destinada al pago de la deuda con el FMI."
7,Salud,... permitir a los trabajadores optar por la obra social de su preferencia sin ningún tipo de limitación?,Patricia Bullrich,Myriam Bregman,Javier Milei,"En su programa, Bullrich propone la libertad de elección a los trabajadores para optar por la obra social de su preferencia sin ningún tipo de limitación.
 "
8,Salud,... establecer un plan integral de salud materno infantil?,Patricia Bullrich,Sergio Massa,Juan Schiaretti,"En su programa, Bullrich propone un plan integral de salud materno infantil que incluye el cuidado integral de la salud durante el embarazo y primera infancia y un sistema de maternidades públicas seguras.
 "
9,Salud,"... tener un sistema de salud público de calidad? 
",Sergio Massa,Javier Milei,Patricia Bullrich,"En su programa, Massa propone fortalecer el equipamiento del sistema de salud pública, considerando que no todos los argentinos tienen acceso a una obra social o a una prepaga."
10,Salud,... el acceso a medicamentos gratuitos para jubilados?,Sergio Massa,Patricia Bullrich,Myriam Bregman,"En su programa, Massa propone profundizar el sistema actual que asegura la provisión gratuita de medicamentos para jubilados."
11,Democracia,"... un plan de retiro voluntario para empleados públicos? 
",Javier Milei,Patricia Bullrich,Juan Schiaretti,"En su programa, Milei propone un plan de retiro voluntario para empleados públicos, con el fin de achicar el personal del Estado.
 "
12,Democracia,... reducir la cantidad de ministerios a 8?,Javier Milei,Patricia Bullrich,Myriam Bregman,"En su programa, Milei propone que haya sólo 8 Ministerios a nivel nacional. Para ello, propone Fusionar los Ministerios de Desarrollo Social, Salud y Educación en un ""Minisiterio de Capital Humano"" que elabore politicas públicas transversales. "
13,Democracia,... que los funcionarios ganen lo mismo que una maestra o un obrero especializado?,Myriam Bregman,Sergio Massa,Patricia Bullrich,"En su programa, Bregman propone rechazar los ""dietazos"" de legisladores y jueces y hacer que ganen el salario de una maestra o un obrero especializado.  "
